,location,total_sqft,bath,price,bhk,price_per_sqft
1883,Dommasandra,1090.0,2.0,43.5,2,3990.8256880733943
1884,Dommasandra,850.0,2.0,25.4,2,2988.235294117647
1885,Dommasandra,674.0,1.0,19.9,2,2952.522255192878
1886,Dommasandra,999.0,2.0,32.9,2,3293.293293293293
1888,EPIP Zone,1285.0,2.0,82.0,2,6381.322957198444
1889,EPIP Zone,2330.0,3.0,162.0,3,6952.789699570815
1890,EPIP Zone,1330.0,2.0,92.5,2,6954.887218045113
1891,EPIP Zone,1330.0,2.0,86.98,2,6539.849624060151
1892,EPIP Zone,1330.0,2.0,93.36,2,7019.548872180451
1894,EPIP Zone,1500.0,3.0,102.0,3,6800.0
1895,EPIP Zone,1280.0,2.0,69.0,2,5390.625
1896,EPIP Zone,1125.0,2.0,65.0,2,5777.777777777777
1897,EPIP Zone,1734.0,3.0,125.0,3,7208.76585928489
1899,EPIP Zone,1343.0,2.0,86.0,2,6403.574087862993
1900,EPIP Zone,2350.0,4.0,163.0,3,6936.170212765957
1901,EPIP Zone,1860.0,3.0,130.0,3,6989.247311827957
1902,EPIP Zone,2210.0,3.0,165.0,3,7466.06334841629
1903,EPIP Zone,2710.0,3.0,177.0,3,6531.365313653137
1906,Electronic City,1025.0,2.0,47.0,3,4585.365853658536
1909,Electronic City,1500.0,2.0,64.5,3,4300.0
1910,Electronic City,1060.0,2.0,60.0,2,5660.377358490566
1911,Electronic City,1152.0,2.0,64.5,2,5598.958333333333
1913,Electronic City,770.0,1.0,36.0,2,4675.324675324675
1914,Electronic City,1070.0,2.0,52.0,2,4859.813084112149
1915,Electronic City,1025.0,2.0,46.0,2,4487.804878048781
1916,Electronic City,589.0,1.0,27.0,1,4584.040747028863
1918,Electronic City,910.0,2.0,40.0,2,4395.604395604396
1919,Electronic City,1108.0,2.0,63.0,2,5685.9205776173285
1920,Electronic City,1128.0,2.0,65.0,2,5762.41134751773
1921,Electronic City,1800.0,3.0,95.0,3,5277.777777777777
1922,Electronic City,630.0,1.0,34.65,1,5500.0
1923,Electronic City,1128.0,2.0,63.0,2,5585.106382978724
1924,Electronic City,1599.0,3.0,99.0,3,6191.369606003753
1927,Electronic City,1070.0,2.0,55.0,2,5140.186915887851
1928,Electronic City,940.0,2.0,41.0,2,4361.702127659574
1930,Electronic City,1128.0,2.0,68.75,2,6094.858156028369
1931,Electronic City,1342.0,2.0,73.3,2,5461.997019374068
1932,Electronic City,1360.0,2.0,71.0,3,5220.588235294118
1934,Electronic City,1265.0,2.0,56.93,2,4500.395256916996
1935,Electronic City,1691.0,2.0,102.0,3,6031.933767001774
1936,Electronic City,1128.0,2.0,65.49,2,5805.851063829787
1939,Electronic City,1070.0,2.0,56.1,2,5242.990654205608
1940,Electronic City,2000.0,4.0,120.0,4,6000.0
1941,Electronic City,890.0,2.0,45.0,2,5056.179775280899
1942,Electronic City,1128.0,2.0,65.65,2,5820.035460992909
1943,Electronic City,865.0,2.0,42.0,2,4855.491329479769
1945,Electronic City,910.0,2.0,42.0,2,4615.384615384615
1947,Electronic City,1360.0,2.0,75.0,3,5514.705882352941
1948,Electronic City,770.0,1.0,40.0,2,5194.805194805195
1949,Electronic City,1128.0,2.0,64.0,2,5673.758865248227
1950,Electronic City,1070.0,2.0,54.0,2,5046.728971962617
1952,Electronic City,1571.0,3.0,89.0,3,5665.1814131126675
1953,Electronic City,1111.0,3.0,50.0,3,4500.450045004501
1954,Electronic City,870.0,2.0,39.5,2,4540.229885057472
1956,Electronic City,1374.0,2.0,72.0,3,5240.174672489083
1958,Electronic City,1128.0,2.0,65.35,2,5793.439716312056
1959,Electronic City,1128.0,2.0,65.0,2,5762.41134751773
1960,Electronic City,755.0,1.0,34.0,2,4503.311258278146
1964,Electronic City,1563.0,3.0,91.84,3,5875.879718490083
1965,Electronic City,1652.0,3.0,70.0,3,4237.28813559322
1967,Electronic City,1025.0,2.0,54.5,2,5317.073170731707
1968,Electronic City,1070.0,2.0,46.0,2,4299.065420560748
1969,Electronic City,1350.0,3.0,58.0,3,4296.2962962962965
1972,Electronic City,1700.0,3.0,75.0,3,4411.764705882353
1974,Electronic City,1128.0,2.0,68.0,2,6028.368794326241
1975,Electronic City,700.0,1.0,35.0,1,5000.0
1976,Electronic City,1360.0,2.0,70.5,3,5183.823529411765
1978,Electronic City,1571.0,3.0,105.0,3,6683.64099299809
1982,Electronic City,1600.0,3.0,104.0,3,6500.0
1984,Electronic City,1500.0,2.0,100.0,3,6666.666666666667
1988,Electronic City,1152.0,2.0,65.0,2,5642.361111111111
1989,Electronic City,1070.0,2.0,60.0,2,5607.476635514019
1990,Electronic City,1128.0,2.0,65.5,2,5806.737588652482
1991,Electronic City,1200.0,2.0,59.0,2,4916.666666666667
1992,Electronic City,1152.0,2.0,65.75,2,5707.465277777777
1994,Electronic City,1070.0,2.0,55.0,2,5140.186915887851
1995,Electronic City,1060.0,2.0,58.0,2,5471.698113207547
1996,Electronic City,1025.0,2.0,54.1,2,5278.048780487805
2001,Electronic City,1500.0,2.0,78.0,3,5200.0
2002,Electronic City,1213.0,2.0,59.32,2,4890.35449299258
2003,Electronic City,1575.0,3.0,90.0,3,5714.285714285715
2004,Electronic City,1449.0,3.0,100.0,3,6901.311249137336
2006,Electronic City,1125.0,2.0,58.0,2,5155.555555555556
2008,Electronic City,1575.0,3.0,101.0,3,6412.6984126984125
2010,Electronic City,550.0,1.0,12.0,1,2181.818181818182
2011,Electronic City,919.0,2.0,40.0,2,4352.557127312296
2012,Electronic City,1500.0,2.0,78.25,3,5216.666666666667
2013,Electronic City,1363.0,2.0,79.0,2,5796.038151137197
2016,Electronic City,1108.0,2.0,67.15,2,6060.469314079423
2018,Electronic City,1128.0,2.0,65.7,2,5824.468085106383
2020,Electronic City,1060.0,2.0,51.0,2,4811.320754716981
2022,Electronic City,1650.0,3.0,100.0,3,6060.606060606061
2024,Electronic City,1025.0,2.0,49.0,2,4780.487804878048
2026,Electronic City,1449.0,3.0,90.0,3,6211.180124223602
2028,Electronic City,1070.0,2.0,58.0,2,5420.560747663551
2029,Electronic City,1210.0,2.0,54.0,2,4462.809917355372
2030,Electronic City,1500.0,2.0,75.0,3,5000.0
2032,Electronic City,1070.0,2.0,52.0,2,4859.813084112149
2033,Electronic City,2435.0,4.0,119.0,4,4887.063655030801
2038,Electronic City,1073.0,2.0,60.0,2,5591.798695246971
2039,Electronic City,1500.0,2.0,78.0,3,5200.0
2040,Electronic City,1070.0,2.0,47.0,2,4392.523364485981
2041,Electronic City,1296.0,2.0,65.0,2,5015.432098765432
2042,Electronic City,1140.0,2.0,70.93,2,6221.9298245614045
2048,Electronic City,2093.0,4.0,104.0,4,4968.944099378882
2049,Electronic City,1025.0,2.0,53.9,2,5258.536585365854
2050,Electronic City,940.0,2.0,54.0,2,5744.68085106383
2051,Electronic City,435.0,1.0,21.0,1,4827.586206896552
2052,Electronic City,1500.0,2.0,77.5,3,5166.666666666667
2053,Electronic City,1631.0,3.0,80.0,3,4904.9662783568365
2054,Electronic City,1355.0,2.0,67.0,2,4944.649446494465
2057,Electronic City,435.0,1.0,22.0,1,5057.471264367816
2059,Electronic City,1039.0,2.0,50.0,2,4812.319538017325
2060,Electronic City,770.0,1.0,39.9,2,5181.818181818182
2062,Electronic City,1128.0,2.0,64.0,2,5673.758865248227
2063,Electronic City,605.0,1.0,13.31,1,2200.0
2065,Electronic City,530.0,1.0,13.5,1,2547.169811320755
2066,Electronic City,1070.0,2.0,53.0,2,4953.271028037383
2069,Electronic City,1571.0,3.0,83.0,3,5283.259070655633
2071,Electronic City,1350.0,3.0,66.0,3,4888.888888888889
2072,Electronic City,1652.0,3.0,110.0,3,6658.595641646489
2076,Electronic City,1128.0,2.0,65.58,2,5813.829787234043
2077,Electronic City,635.0,1.0,28.0,1,4409.4488188976375
2078,Electronic City,1128.0,2.0,65.4,2,5797.8723404255325
2081,Electronic City,1355.0,2.0,72.9,2,5380.073800738008
2085,Electronic City,770.0,1.0,35.0,2,4545.454545454545
2087,Electronic City,865.0,2.0,40.0,2,4624.277456647399
2090,Electronic City,1108.0,2.0,63.0,2,5685.9205776173285
2091,Electronic City,630.0,1.0,40.5,1,6428.571428571428
2094,Electronic City,605.0,1.0,22.0,1,3636.3636363636365
2096,Electronic City,1070.0,2.0,48.0,2,4485.981308411215
2098,Electronic City,1360.0,2.0,70.0,3,5147.058823529412
2099,Electronic City,635.0,1.0,28.0,1,4409.4488188976375
2100,Electronic City,1128.0,2.0,65.45,2,5802.304964539007
2101,Electronic City,890.0,2.0,40.0,2,4494.38202247191
2106,Electronic City,1360.0,2.0,58.0,3,4264.705882352941
2109,Electronic City,630.0,1.0,33.7,1,5349.20634920635
2113,Electronic City,1400.0,3.0,90.0,3,6428.571428571428
2114,Electronic City,1287.0,3.0,55.0,3,4273.504273504273
2115,Electronic City,1258.0,2.0,85.5,2,6796.502384737679
2116,Electronic City,1386.0,2.0,85.0,2,6132.7561327561325
2117,Electronic City,1025.0,2.0,50.0,2,4878.048780487805
2119,Electronic City,1070.0,2.0,55.0,2,5140.186915887851
2120,Electronic City,1342.0,2.0,72.0,2,5365.126676602086
2121,Electronic City,1275.0,3.0,70.0,3,5490.196078431372
2122,Electronic City,770.0,1.0,38.0,2,4935.064935064935
2127,Electronic City,1644.0,3.0,92.59,3,5631.995133819952
2128,Electronic City,1250.0,2.0,62.0,2,4960.0
2131,Electronic City,418.0,1.0,12.0,1,2870.813397129187
2132,Electronic City,1128.0,2.0,64.8,2,5744.68085106383
2135,Electronic City,1060.0,2.0,55.0,2,5188.679245283019
2136,Electronic City,710.0,1.0,40.42,1,5692.957746478874
2139,Electronic City,1275.0,3.0,63.43,3,4974.901960784314
2140,Electronic City,1518.0,3.0,75.0,3,4940.711462450593
2141,Electronic City,1090.0,2.0,31.48,1,2888.0733944954127
2144,Electronic City,1060.0,2.0,55.0,2,5188.679245283019
2146,Electronic City,1353.0,2.0,75.0,2,5543.2372505543235
2148,Electronic City,1128.0,2.0,67.0,2,5939.7163120567375
2149,Electronic City,1070.0,2.0,57.0,2,5327.102803738318
2150,Electronic City,1700.0,3.0,90.0,3,5294.117647058823
2152,Electronic City,750.0,1.0,35.0,1,4666.666666666667
2153,Electronic City,1210.0,2.0,55.0,2,4545.454545454545
2154,Electronic City,1070.0,2.0,60.0,2,5607.476635514019
2159,Electronic City,1615.0,3.0,97.0,3,6006.1919504643965
2161,Electronic City,1221.0,2.0,68.0,2,5569.205569205569
2163,Electronic City,1500.0,3.0,73.0,3,4866.666666666667
2164,Electronic City,995.0,2.0,48.0,2,4824.120603015075
2165,Electronic City,1342.0,2.0,90.0,2,6706.408345752608
2167,Electronic City,1128.0,2.0,63.5,2,5629.432624113475
2168,Electronic City,589.0,1.0,29.0,1,4923.599320882852
2171,Electronic City,1575.0,3.0,94.5,3,6000.0
2172,Electronic City,1070.0,2.0,48.0,2,4485.981308411215
2173,Electronic City,1025.0,2.0,54.0,2,5268.292682926829
2174,Electronic City,1500.0,2.0,70.0,3,4666.666666666667
2175,Electronic City,1500.0,2.0,64.5,3,4300.0
2177,Electronic City,2093.0,4.0,134.0,4,6402.293358815098
2179,Electronic City,1355.0,2.0,73.0,2,5387.453874538745
2180,Electronic City,1360.0,2.0,64.99,3,4778.676470588234
2181,Electronic City,1060.0,2.0,52.0,2,4905.66037735849
2182,Electronic City Phase II,1056.0,2.0,39.07,2,3699.810606060606
2183,Electronic City Phase II,1020.0,2.0,30.6,2,3000.0
2184,Electronic City Phase II,1069.0,2.0,45.0,2,4209.541627689429
2185,Electronic City Phase II,630.0,1.0,28.35,1,4500.0
2187,Electronic City Phase II,1000.0,2.0,25.0,2,2500.0
2188,Electronic City Phase II,1090.0,2.0,28.34,2,2600.0
2189,Electronic City Phase II,2225.0,4.0,98.88,4,4444.044943820225
2191,Electronic City Phase II,775.0,2.0,38.0,2,4903.225806451613
2192,Electronic City Phase II,1266.0,2.0,59.0,2,4660.347551342812
2193,Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
2196,Electronic City Phase II,972.0,2.0,44.0,2,4526.748971193416
2198,Electronic City Phase II,1031.0,2.0,55.0,2,5334.62657613967
2199,Electronic City Phase II,1003.0,2.0,40.6,2,4047.8564307078764
2200,Electronic City Phase II,1031.0,2.0,56.35,2,5465.56741028128
2202,Electronic City Phase II,1395.0,2.0,62.78,3,4500.358422939068
2203,Electronic City Phase II,1160.0,2.0,33.5,2,2887.9310344827586
2204,Electronic City Phase II,1065.0,2.0,30.75,2,2887.323943661972
2205,Electronic City Phase II,1219.0,2.0,61.25,2,5024.610336341263
2207,Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
2208,Electronic City Phase II,1790.0,3.0,100.0,3,5586.592178770949
2209,Electronic City Phase II,769.0,2.0,40.0,2,5201.560468140442
2211,Electronic City Phase II,900.0,2.0,32.5,2,3611.1111111111113
2214,Electronic City Phase II,993.0,2.0,50.0,3,5035.246727089628
2215,Electronic City Phase II,1418.0,3.0,52.47,3,3700.2820874471086
2216,Electronic City Phase II,1070.0,2.0,45.0,2,4205.607476635514
2219,Electronic City Phase II,1140.0,2.0,33.06,2,2900.0
2220,Electronic City Phase II,1089.0,2.0,32.67,2,3000.0
2221,Electronic City Phase II,1031.0,2.0,55.0,2,5334.62657613967
2222,Electronic City Phase II,1253.0,2.0,65.8,2,5251.3966480446925
2224,Electronic City Phase II,1160.0,2.0,33.5,2,2887.9310344827586
2225,Electronic City Phase II,975.0,2.0,45.0,3,4615.384615384615
2226,Electronic City Phase II,6000.0,4.0,260.0,4,4333.333333333333
2227,Electronic City Phase II,1116.0,2.0,37.0,2,3315.4121863799282
2228,Electronic City Phase II,1125.0,2.0,29.25,2,2600.0
2229,Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
2230,Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
2231,Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
2232,Electronic City Phase II,1165.0,2.0,30.29,2,2600.0
2233,Electronic City Phase II,3550.0,2.0,167.5,4,4718.30985915493
2234,Electronic City Phase II,1031.0,2.0,53.0,2,5140.640155189137
2236,Electronic City Phase II,1065.0,2.0,30.88,2,2899.5305164319248
2238,Electronic City Phase II,1549.0,3.0,80.0,3,5164.622336991608
2239,Electronic City Phase II,1065.0,2.0,56.13,2,5270.422535211268
2241,Electronic City Phase II,920.0,2.0,26.0,2,2826.086956521739
2242,Electronic City Phase II,1140.0,2.0,33.84,2,2968.421052631579
2243,Electronic City Phase II,1219.0,2.0,61.26,2,5025.430680885972
2244,Electronic City Phase II,1252.0,2.0,65.0,3,5191.693290734825
2245,Electronic City Phase II,1125.0,2.0,32.49,2,2888.0
2247,Electronic City Phase II,1286.0,2.0,69.0,2,5365.47433903577
2249,Electronic City Phase II,1140.0,2.0,32.92,2,2887.719298245614
2250,Electronic City Phase II,1116.0,2.0,40.0,2,3584.2293906810037
2251,Electronic City Phase II,1150.0,3.0,46.0,3,4000.0
2252,Electronic City Phase II,1192.0,2.0,47.0,3,3942.953020134228
2254,Electronic City Phase II,1020.0,2.0,32.0,2,3137.2549019607845
2255,Electronic City Phase II,1900.0,3.0,97.0,4,5105.263157894737
2256,Electronic City Phase II,1020.0,2.0,27.43,2,2689.2156862745096
2257,Electronic City Phase II,1025.0,2.0,26.65,2,2600.0
2258,Electronic City Phase II,1020.0,2.0,29.45,2,2887.2549019607845
2259,Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
2261,Electronic City Phase II,1140.0,2.0,28.5,2,2500.0
2262,Electronic City Phase II,1125.0,2.0,32.49,2,2888.0
2263,Electronic City Phase II,1200.0,2.0,34.65,2,2887.5
2264,Electronic City Phase II,1160.0,2.0,52.2,2,4500.0
2265,Electronic City Phase II,1244.0,2.0,55.0,2,4421.221864951768
2266,Electronic City Phase II,1160.0,2.0,33.51,2,2888.793103448276
2269,Electronic City Phase II,972.0,2.0,40.0,2,4115.22633744856
2270,Electronic City Phase II,1160.0,2.0,33.51,2,2888.793103448276
2272,Electronic City Phase II,1090.0,2.0,31.48,2,2888.0733944954127
2273,Electronic City Phase II,1140.0,2.0,32.92,2,2887.719298245614
2274,Electronic City Phase II,650.0,1.0,35.0,1,5384.615384615385
2275,Electronic City Phase II,1155.0,2.0,57.0,2,4935.064935064935
2276,Electronic City Phase II,1800.0,3.0,92.0,3,5111.111111111111
2277,Electronic City Phase II,1300.0,2.0,28.0,2,2153.846153846154
2278,Electronic City Phase II,1160.0,2.0,33.5,2,2887.9310344827586
2279,Electronic City Phase II,1025.0,2.0,29.6,2,2887.8048780487807
2280,Electronic City Phase II,829.0,2.0,22.8,2,2750.301568154403
2281,Electronic City Phase II,2187.5,4.0,105.0,4,4800.0
2282,Electronic City Phase II,1252.0,2.0,67.0,2,5351.437699680511
2284,Electronic City Phase II,1125.0,2.0,32.63,2,2900.444444444445
2285,Electronic City Phase II,1140.0,2.0,34.0,2,2982.4561403508774
2288,Electronic City Phase II,1252.0,2.0,65.0,3,5191.693290734825
2289,Electronic City Phase II,1135.0,2.0,46.0,2,4052.863436123348
2290,Electronic City Phase II,1305.0,3.0,65.0,3,4980.842911877395
2291,Electronic City Phase II,1165.0,2.0,33.64,2,2887.5536480686696
2293,Electronic City Phase II,1336.0,2.0,50.35,3,3768.7125748502995
2294,Electronic City Phase II,575.0,1.0,16.75,1,2913.0434782608695
2295,Electronic City Phase II,925.0,2.0,49.82,3,5385.945945945946
2296,Electronic City Phase II,1065.0,2.0,30.76,2,2888.262910798122
2297,Electronic City Phase II,1065.0,2.0,30.75,2,2887.323943661972
2298,Electronic City Phase II,1140.0,2.0,33.06,2,2900.0
2299,Electronic City Phase II,911.0,2.0,26.5,2,2908.8913282107574
2300,Electronic City Phase II,1200.0,2.0,34.65,2,2887.5
2301,Electronic City Phase II,1031.0,2.0,54.48,2,5284.190106692531
2305,Electronics City Phase 1,1475.0,3.0,78.29,3,5307.796610169492
2306,Electronics City Phase 1,1490.0,3.0,78.8,3,5288.5906040268455
2307,Electronics City Phase 1,1113.27,2.0,53.0,2,4760.74986301616
2308,Electronics City Phase 1,1490.0,3.0,84.0,3,5637.583892617449
2315,Electronics City Phase 1,1015.0,2.0,56.0,2,5517.241379310345
2317,Electronics City Phase 1,1515.0,2.0,80.91,3,5340.59405940594
2318,Electronics City Phase 1,995.0,2.0,46.0,2,4623.115577889447
2319,Electronics City Phase 1,1555.0,2.0,82.0,3,5273.311897106109
2320,Electronics City Phase 1,1340.0,2.0,75.0,2,5597.014925373134
2321,Electronics City Phase 1,1124.0,2.0,55.0,3,4893.238434163701
2322,Electronics City Phase 1,1175.0,2.0,57.0,2,4851.063829787234
2323,Electronics City Phase 1,755.0,1.0,42.41,1,5617.218543046358
2324,Electronics City Phase 1,580.0,1.0,27.0,1,4655.172413793103
2325,Electronics City Phase 1,940.0,2.0,49.0,2,5212.765957446809
2326,Electronics City Phase 1,1335.0,2.0,67.0,2,5018.7265917603
2327,Electronics City Phase 1,1113.12,2.0,55.0,2,4941.066551674573
2329,Electronics City Phase 1,1350.0,3.0,71.0,3,5259.259259259259
2331,Electronics City Phase 1,995.0,2.0,49.8,2,5005.025125628141
2332,Electronics City Phase 1,635.0,1.0,26.0,1,4094.488188976378
2333,Electronics City Phase 1,1190.0,2.0,68.0,2,5714.285714285715
2335,Electronics City Phase 1,1450.0,3.0,72.54,3,5002.758620689656
2336,Electronics City Phase 1,360.0,1.0,16.9,1,4694.444444444443
2337,Electronics City Phase 1,638.0,1.0,32.0,1,5015.673981191223
2338,Electronics City Phase 1,1175.0,2.0,64.98,2,5530.212765957447
2339,Electronics City Phase 1,585.0,1.0,21.0,1,3589.74358974359
2340,Electronics City Phase 1,1200.0,2.0,59.76,2,4980.0
2341,Electronics City Phase 1,1145.0,2.0,54.0,2,4716.157205240174
2342,Electronics City Phase 1,1125.0,2.0,65.0,2,5777.777777777777
2344,Electronics City Phase 1,1550.0,2.0,82.0,3,5290.322580645161
2346,Electronics City Phase 1,865.0,2.0,40.0,2,4624.277456647399
2350,Electronics City Phase 1,1800.0,3.0,93.0,3,5166.666666666667
2351,Electronics City Phase 1,1314.0,2.0,60.0,2,4566.2100456621
2352,Electronics City Phase 1,1170.0,2.0,62.0,2,5299.145299145299
2353,Electronics City Phase 1,1450.0,3.0,79.0,3,5448.275862068966
2354,Electronics City Phase 1,940.0,2.0,48.0,2,5106.382978723404
2355,Electronics City Phase 1,940.0,2.0,44.0,2,4680.851063829788
2356,Electronics City Phase 1,1300.0,2.0,67.0,2,5153.846153846154
2357,Electronics City Phase 1,1028.0,2.0,51.0,2,4961.089494163424
2359,Electronics City Phase 1,1205.0,2.0,60.0,2,4979.253112033195
2361,Electronics City Phase 1,1305.0,2.0,67.0,2,5134.099616858238
2362,Electronics City Phase 1,755.0,1.0,30.12,1,3989.4039735099336
2363,Electronics City Phase 1,1175.0,2.0,60.0,2,5106.382978723404
2364,Frazer Town,1700.0,3.0,180.0,3,10588.235294117647
2365,Frazer Town,1305.0,3.0,95.45,3,7314.176245210728
2366,Frazer Town,1870.0,3.0,185.0,3,9893.048128342247
2367,Frazer Town,1750.0,3.0,150.0,3,8571.42857142857
2369,Frazer Town,2000.0,3.0,200.0,3,10000.0
2370,Frazer Town,3500.0,4.0,330.0,3,9428.57142857143
2371,Frazer Town,2350.0,4.0,285.0,3,12127.659574468085
2372,Frazer Town,1550.0,2.0,140.0,2,9032.258064516129
2373,Frazer Town,1900.0,4.0,145.0,3,7631.578947368421
2374,Frazer Town,2560.0,3.0,265.0,3,10351.5625
2375,Frazer Town,2400.0,3.0,260.0,3,10833.333333333334
2376,Frazer Town,2560.0,3.0,288.0,3,11250.0
2377,Frazer Town,3436.0,5.0,341.0,4,9924.330616996507
2379,Frazer Town,1315.0,2.0,140.0,2,10646.38783269962
2380,Frazer Town,1706.0,3.0,154.0,3,9026.963657678782
2381,Frazer Town,2079.0,3.0,220.0,3,10582.010582010582
2382,Frazer Town,3435.0,2.0,341.0,4,9927.21979621543
2383,Frazer Town,3436.0,5.0,345.0,4,10040.745052386495
2384,Frazer Town,3100.0,3.0,400.0,3,12903.225806451614
2385,Frazer Town,5400.0,3.0,400.0,3,7407.407407407408
2386,Frazer Town,1180.0,2.0,105.0,2,8898.305084745763
2387,Frazer Town,2900.0,4.0,325.0,4,11206.896551724138
2388,Frazer Town,1870.0,3.0,180.0,3,9625.668449197861
2389,Frazer Town,896.0,1.0,100.0,1,11160.714285714286
2390,Frazer Town,1420.0,2.0,120.0,2,8450.704225352112
2391,GM Palaya,1820.0,2.0,86.0,3,4725.274725274725
2392,GM Palaya,1225.0,2.0,47.0,2,3836.734693877551
2393,GM Palaya,1140.0,2.0,48.95,2,4293.859649122807
2394,GM Palaya,1315.0,2.0,65.0,3,4942.9657794676805
2395,GM Palaya,1315.0,3.0,65.0,3,4942.9657794676805
2396,GM Palaya,1315.0,3.0,64.0,3,4866.920152091255
2397,GM Palaya,1735.0,3.0,70.0,3,4034.5821325648417
2398,GM Palaya,1643.0,2.0,70.0,3,4260.49908703591
2399,Garudachar Palya,1325.0,2.0,60.8,3,4588.679245283019
2400,Garudachar Palya,1060.0,2.0,48.7,2,4594.33962264151
2401,Garudachar Palya,1150.0,2.0,52.75,2,4586.95652173913
2402,Garudachar Palya,1295.0,2.0,59.5,3,4594.594594594595
2403,Garudachar Palya,1320.0,2.0,60.6,3,4590.909090909091
2404,Garudachar Palya,1295.0,2.0,59.5,3,4594.594594594595
2405,Garudachar Palya,1150.0,2.0,52.8,2,4591.304347826087
2406,Garudachar Palya,1150.0,2.0,52.8,2,4591.304347826087
2407,Garudachar Palya,1060.0,2.0,48.5,2,4575.471698113208
2408,Garudachar Palya,1150.0,2.0,52.5,2,4565.217391304348
2409,Garudachar Palya,1325.0,2.0,60.8,3,4588.679245283019
2410,Garudachar Palya,1060.0,2.0,48.66,2,4590.566037735849
2411,Garudachar Palya,1150.0,2.0,52.0,2,4521.739130434783
2412,Garudachar Palya,1154.0,2.0,51.8,2,4488.734835355286
2414,Giri Nagar,2400.0,4.0,400.0,4,16666.666666666668
2415,Giri Nagar,1800.0,3.0,252.0,3,14000.0
2416,Giri Nagar,1350.0,3.0,240.0,3,17777.777777777777
2417,Giri Nagar,2400.0,4.0,400.0,4,16666.666666666668
2418,Giri Nagar,3000.0,4.0,375.0,6,12500.0
2419,Giri Nagar,2400.0,6.0,400.0,6,16666.666666666668
2420,Giri Nagar,4000.0,3.0,750.0,4,18750.0
2421,Gollarapalya Hosahalli,861.0,2.0,34.5,2,4006.968641114983
2422,Gollarapalya Hosahalli,1408.0,3.0,62.0,3,4403.409090909091
2423,Gollarapalya Hosahalli,861.0,2.0,34.5,2,4006.968641114983
2424,Gollarapalya Hosahalli,1318.0,3.0,54.0,3,4097.11684370258
2425,Gollarapalya Hosahalli,861.0,2.0,36.5,2,4239.256678281068
2426,Gollarapalya Hosahalli,1320.0,3.0,60.0,3,4545.454545454545
2427,Gollarapalya Hosahalli,1345.0,3.0,60.0,3,4460.966542750929
2428,Gollarapalya Hosahalli,1905.0,3.0,86.0,4,4514.435695538058
2429,Gollarapalya Hosahalli,1318.0,3.0,56.0,3,4248.86191198786
2430,Gollarapalya Hosahalli,1129.0,2.0,50.0,2,4428.697962798937
2431,Gottigere,1100.0,2.0,40.0,2,3636.3636363636365
2432,Gottigere,967.0,2.0,45.0,2,4653.567735263702
2433,Gottigere,1618.0,3.0,82.5,3,5098.887515451174
2434,Gottigere,1222.0,2.0,63.0,2,5155.482815057283
2436,Gottigere,1300.0,3.0,65.0,3,5000.0
2437,Gottigere,950.0,2.0,38.0,2,4000.0
2438,Gottigere,1153.0,2.0,48.5,2,4206.418039895923
2439,Gottigere,812.0,1.0,26.0,1,3201.9704433497536
2441,Gottigere,1460.0,2.0,65.0,3,4452.054794520548
2442,Gottigere,1500.0,3.0,70.0,3,4666.666666666667
2443,Gottigere,1621.0,3.0,72.0,3,4441.702652683529
2444,Gottigere,812.0,1.0,26.0,1,3201.9704433497536
2445,Gottigere,990.0,2.0,40.0,2,4040.40404040404
2446,Gottigere,1235.0,2.0,63.0,2,5101.214574898785
2447,Gottigere,1385.0,3.0,64.0,3,4620.938628158845
2448,Gottigere,1000.0,2.0,35.0,2,3500.0
2449,Gottigere,1010.0,2.0,35.0,2,3465.3465346534654
2452,Gottigere,1435.0,2.0,62.0,3,4320.557491289199
2453,Gottigere,945.0,2.0,45.0,2,4761.9047619047615
2455,Gottigere,2500.0,3.0,120.0,4,4800.0
2456,Gottigere,1230.0,2.0,52.0,3,4227.642276422765
2457,Gottigere,1120.0,2.0,50.0,2,4464.285714285715
2458,Gottigere,1500.0,3.0,63.0,3,4200.0
2459,Gottigere,1200.0,2.0,40.0,2,3333.3333333333335
2460,Gottigere,1280.0,2.0,61.0,2,4765.625
2461,Gottigere,1205.0,2.0,56.58,2,4695.435684647303
2462,Gottigere,1170.0,2.0,40.0,2,3418.803418803419
2463,Gottigere,3000.0,3.0,132.0,4,4400.0
2464,Gottigere,1613.0,3.0,72.0,3,4463.732176069436
2465,Gottigere,1110.0,2.0,36.25,2,3265.765765765766
2466,Gottigere,1245.0,2.0,59.0,2,4738.955823293173
2467,Gottigere,1200.0,2.0,50.0,2,4166.666666666667
2468,Green Glen Layout,1670.0,3.0,120.0,3,7185.62874251497
2469,Green Glen Layout,3250.0,4.0,230.0,4,7076.923076923077
2470,Green Glen Layout,1776.42,3.0,105.0,3,5910.764346269463
2471,Green Glen Layout,3250.0,4.0,230.0,4,7076.923076923077
2472,Green Glen Layout,940.0,2.0,56.8,2,6042.553191489362
2473,Green Glen Layout,1075.0,2.0,60.0,2,5581.395348837209
2474,Green Glen Layout,1715.0,3.0,115.0,3,6705.539358600583
